,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
1525,1525,002185,泓德泓利货币B,货币型,2021-09-22,0.0,0.17,0.5,1.0,1.49
1532,1532,002195,中银机构现金管理货币,货币型,2021-09-22,0.0,0.17,0.51,1.06,1.55
1537,1537,002200,大成慧成货币A,货币型,2021-09-22,0.0,0.16,0.48,0.98,1.49
1538,1538,002201,大成慧成货币B,货币型,2021-09-22,0.0,0.18,0.54,1.1,1.67
1539,1539,002202,大成慧成货币E,货币型,2021-09-22,0.0,0.16,0.48,0.98,1.49
1561,1561,002234,泰信天天收益货币B,货币型,2021-09-22,0.0,0.21,0.62,1.23,1.79
1566,1566,002247,新疆前海联合海盈货币A,货币型,2021-09-22,0.0,0.17,0.51,1.06,1.6
1567,1567,002248,新疆前海联合海盈货币B,货币型,2021-09-22,0.0,0.19,0.58,1.19,1.79
1576,1576,002260,中信建投添鑫宝,货币型,2021-09-22,0.0,0.18,0.52,1.04,1.52
1617,1617,002318,鹏华添利交易型货币A,货币型,2021-09-22,0.0,0.17,0.5,0.99,1.45
1621,1621,002324,南方日添益A,货币型,2021-09-22,0.0,0.17,0.52,1.04,1.53
1730,1730,002469,华泰柏瑞交易货币B,货币型,2021-09-22,0.0,0.2,0.57,1.19,1.77
1876,1876,002672,诺德货币A,货币型,2021-09-22,0.0,0.16,0.46,0.94,1.41
1877,1877,002673,诺德货币B,货币型,2021-09-22,0.0,0.18,0.52,1.06,1.58
1914,1914,002733,上银慧盈利货币,货币型,2021-09-22,0.0,0.15,0.34,0.92,1.53
1927,1927,002747,中欧货币C,货币型,2021-09-22,0.0,0.16,0.49,0.99,1.53
1928,1928,002748,中欧货币D,货币型,2021-09-22,0.0,0.18,0.55,1.12,1.7
1935,1935,002759,东兴安盈宝A,货币型,2021-09-22,0.0,0.21,0.49,0.95,1.43
1936,1936,002760,东兴安盈宝B,货币型,2021-09-22,0.0,0.23,0.55,1.07,1.6
1959,1959,002788,融通现金宝货币A,货币型,2021-09-22,0.0,0.16,0.48,0.96,1.45
1997,1997,002847,天弘现金管家货币E,货币型,2021-09-22,0.0,0.18,0.53,1.1,1.59
2000,2000,002852,招商财富宝交易型货币A,货币型,2021-09-22,0.0,0.15,0.49,1.01,1.49
2001,2001,002855,博时现金宝货币C,货币型,2021-09-22,0.0,0.18,0.54,1.11,1.67
2022,2022,002883,华润元大现金通货币A,货币型,2021-09-22,0.0,0.17,0.5,0.99,1.43
2023,2023,002884,华润元大现金通货币B,货币型,2021-09-22,0.0,0.18,0.53,1.06,1.54
2025,2025,002889,交银天利宝货币A,货币型,2021-09-22,0.0,0.21,0.62,1.24,1.84
2026,2026,002890,交银天利宝货币E,货币型,2021-09-22,0.0,0.23,0.68,1.37,2.02
2030,2030,002894,华夏天利货币A,货币型,2021-09-22,0.0,0.18,0.53,1.11,1.64
2031,2031,002895,华夏天利货币B,货币型,2021-09-22,0.0,0.2,0.6,1.23,1.82
2045,2045,002912,兴业稳天盈货币A,货币型,2021-09-22,0.0,0.18,0.53,1.09,1.6
2068,2068,002957,财通财通宝货币A,货币型,2021-09-22,0.0,0.16,0.49,1.01,1.51
2069,2069,002958,财通财通宝货币B,货币型,2021-09-22,0.0,0.18,0.55,1.13,1.69
2071,2071,002960,博时合利货币B,货币型,2021-09-22,0.0,0.18,0.54,1.07,1.59
2100,2100,003003,华夏现金增利货币A/E,货币型,2021-09-22,0.0,0.16,0.49,1.03,1.58
2109,2109,003022,建信现金添益货币A,货币型,2021-09-22,0.0,0.2,0.62,1.24,1.84
2120,2120,003034,平安交易型货币A,货币型,2021-09-22,0.0,0.2,0.6,1.26,1.84
2195,2195,003171,信达澳银慧理财货币,货币型,2021-09-22,0.0,0.04,0.17,0.56,0.9
2207,2207,003185,建信货币B,货币型,2021-09-22,0.0,0.21,0.63,1.27,1.88
2225,2225,003206,博时合鑫货币,货币型,2021-09-22,0.0,0.18,0.56,1.15,1.74
2239,2239,003228,浦银安盛日日鑫货币A,货币型,2021-09-22,0.0,0.17,0.51,1.03,1.53
2240,2240,003229,浦银安盛日日鑫货币B,货币型,2021-09-22,0.0,0.19,0.57,1.15,1.71
2255,2255,003246,华泰柏瑞天添宝货币A,货币型,2021-09-22,0.0,0.18,0.53,1.09,1.61
2256,2256,003252,大成添益交易型货币A,货币型,2021-09-22,0.0,0.2,0.56,1.15,1.74
2257,2257,003253,大成添益交易型货币B,货币型,2021-09-22,0.0,0.22,0.63,1.27,1.91
2263,2263,003264,新华活期添利货币B,货币型,2021-09-22,0.0,0.2,0.59,1.21,1.79
2265,2265,003267,新华壹诺宝货币B,货币型,2021-09-22,0.0,0.18,0.55,1.06,1.58
