,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
8213,8213,100055,富国全球科技互联网(QDII),QDII,2021-09-22,2.4192,0.62,-6.36,-12.27,-7.98
8217,8217,100061,富国中国中小盘混合(QDII)人民币,QDII,2021-09-22,2.7,0.56,-10.86,-4.73,-0.92
8249,8249,110031,易方达恒生国企ETF联接A,QDII,2021-09-22,0.9517,-1.25,-15.7,-21.8,-18.12
8250,8250,110032,易方达恒生国企ETF联接现汇A,QDII,2021-09-22,0.1471,-0.81,-15.8,-21.21,-17.41
8251,8251,110033,易方达恒生国企ETF联接现钞A,QDII,2021-09-22,0.1471,-0.81,-15.8,-21.21,-17.41
8261,8261,118001,易方达亚洲精选股票,QDII,2021-09-17,1.189,0.76,-9.44,-25.5,-21.67
8262,8262,118002,易方达标普消费品指数A,QDII,2021-09-17,2.725,-3.91,-4.45,0.04,5.42
8286,8286,160125,南方香港优选股票,QDII,2021-09-22,1.3544,-0.36,-18.06,-19.1,-2.18
8293,8293,160140,南方道琼斯美国精选A,QDII,2021-09-22,1.1994,-0.82,3.11,15.36,24.52
8294,8294,160141,南方道琼斯美国精选C,QDII,2021-09-22,1.1811,-0.85,3.01,15.15,24.2
8300,8300,160213,国泰纳斯达克100指数,QDII,2021-09-17,5.969,1.76,8.47,15.03,17.18
8302,8302,160216,国泰大宗商品,QDII,2021-09-17,0.314,6.8,4.32,12.14,47.42
8320,8320,160416,华安标普全球石油指数,QDII,2021-09-17,1.006,3.6,-2.52,2.24,24.5
8378,8378,160644,鹏华港美互联股票人民币,QDII,2021-09-17,1.2966,4.53,-6.61,-11.24,-6.05
8382,8382,160717,嘉实恒生中国企业,QDII,2021-09-22,0.6491,-1.37,-16.04,-22.2,-19.64
8384,8384,160719,嘉实黄金,QDII,2021-09-17,0.858,-2.28,-1.49,-0.92,-9.4
8385,8385,160723,嘉实原油(QDII-LOF),QDII,2021-09-17,0.9744,6.99,3.88,11.4,45.41
8400,8400,160922,大成恒生综合中小型股指数A,QDII,2021-09-22,1.102,1.75,-9.0,-6.61,-1.87
8401,8401,160924,大成恒生指数,QDII,2021-09-22,0.87,-2.58,-13.0,-14.87,-10.12
8428,8428,161116,易方达黄金主题人民币A,QDII,2021-09-17,0.739,-3.78,-7.04,-6.69,-14.27
8436,8436,161124,易方达香港小型股指数A,QDII,2021-09-22,1.3008,2.69,-7.46,-5.33,3.39
8437,8437,161125,易方达标普500指数人民币A,QDII,2021-09-17,1.7772,-0.63,5.18,10.48,16.15
8438,8438,161126,易方达标普医疗保健人民币A,QDII,2021-09-17,1.7944,-0.98,7.33,16.22,16.51
8439,8439,161127,易方达标普生物科技人民币A,QDII,2021-09-17,1.7659,6.62,-0.78,-10.29,-6.13
8440,8440,161128,易标普信息科技人民币A,QDII,2021-09-17,2.7583,0.27,8.3,14.41,16.53
8441,8441,161129,易方达原油A类人民币,QDII,2021-09-17,0.8363,7.04,4.67,12.66,46.75
8442,8442,161130,易方达纳斯达克100人民币A,QDII,2021-09-17,2.3145,1.74,8.2,14.45,16.61
8456,8456,161229,国投瑞银中国价值发现股票,QDII,2021-09-17,1.322,-4.62,-13.54,-20.51,-15.2
8477,8477,161620,融通核心价值混合,QDII,2021-09-17,1.036,0.16,-7.76,-12.29,-5.18
8504,8504,161815,银华抗通胀主题,QDII,2021-09-17,0.557,3.53,3.72,8.16,26.59
8510,8510,161831,银华恒生中国企业指数,QDII,2021-09-17,0.7519,-1.29,-15.17,-21.29,-18.7
